Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
225,526,2017-03-03 07:10:10,1488546610,53.5,338.76,Standard,0,38.8904034,-92.1033583,,,61.5,,-1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:10:28,1488546628,55.1,300.52,Standard,0.3,38.8929827,-92.106588,,,61.76,,1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:10:53,1488546653,54.5,289.48,Standard,0.6,38.8955004,-92.1128278,,,62.14,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:11:11,1488546671,54.5,271.93,Standard,0.9,38.8957436,-92.1179831,,,62.42,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:11:29,1488546689,51.6,322.32,Standard,1.2,38.897444,-92.1221362,,,62.69,,-2,8223,0.00,Electric Distribution
225,526,2017-03-03 07:11:52,1488546712,44.6,324.38,Standard,1.5,38.9008732,-92.1255892,,,62.99,,-6,8223,0.00,Electric Distribution
225,526,2017-03-03 07:12:10,1488546730,41.4,272.68,Standard,1.7,38.9031587,-92.1274635,,,63.2,,5,8223,0.00,Electric Distribution
225,526,2017-03-03 07:12:28,1488546748,32.7,1.12,Standard,1.9,38.9039393,-92.1303248,,,63.39,,10,8223,0.00,Electric Distribution
225,526,2017-03-03 07:12:53,1488546773,54.3,0.62,Standard,2.2,38.9088699,-92.1302558,,,63.73,,1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:14:33,1488546873,61,2.05,Standard,3.8,38.9316234,-92.1295746,,,65.3,,3,8223,0.00,Electric Distribution
225,526,2017-03-03 07:14:51,1488546891,59.1,11.78,Standard,4.1,38.9359724,-92.1287693,,,65.61,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:15:09,1488546909,57.3,358.93,Standard,4.4,38.940222,-92.1284667,,,65.9,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:15:45,1488546945,49.9,358.18,Standard,5,38.9485982,-92.1286879,,,66.48,,-6,8223,0.00,Electric Distribution
225,526,2017-03-03 07:16:04,1488546964,32.8,1.31,Standard,5.2,38.9516757,-92.1287404,,,66.69,,-4,8223,0.00,Electric Distribution
225,526,2017-03-03 07:16:23,1488546983,21.5,358.60,Standard,5.3,38.9539184,-92.1286876,,,66.84,,-18,8223,0.00,Electric Distribution
225,526,2017-03-03 07:16:41,1488547001,74,270.73,Standard,5.6,38.953841,-92.1326007,,,67.06,,9,8223,0.00,Electric Distribution
225,526,2017-03-03 07:17:29,1488547049,77.5,276.52,Standard,6.6,38.9544491,-92.1515196,,,68.08,,-1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:17:47,1488547067,73,283.34,Standard,7,38.9554947,-92.1584251,,,68.46,,-1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:18:34,1488547114,77.3,277.80,Standard,7.9,38.9584746,-92.1751138,,,69.38,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:18:52,1488547132,76.5,271.98,Standard,8.3,38.958729,-92.1822807,,,69.77,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:20:17,1488547217,72.4,277.59,Standard,10,38.9588253,-92.2144998,,,71.51,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:20:51,1488547251,76.2,272.16,Standard,10.7,38.9602273,-92.2272516,,,72.2,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:21:34,1488547294,69.4,269.45,Standard,11.6,38.9601148,-92.243428,,,73.07,,-1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:21:59,1488547319,62.2,271.34,Standard,12.1,38.9601872,-92.2523193,,,73.55,,-5,8223,0.00,Electric Distribution
225,526,2017-03-03 07:22:23,1488547343,69.3,273.18,Standard,12.5,38.9605066,-92.2603319,,,73.98,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:22:58,1488547378,76.3,273.34,Standard,13.2,38.9610733,-92.2733791,,,74.69,,3,8223,0.00,Electric Distribution
225,526,2017-03-03 07:23:36,1488547416,69.2,272.86,Standard,14,38.9616681,-92.2875423,,,75.45,,-3,8223,0.00,Electric Distribution
225,526,2017-03-03 07:23:54,1488547434,71.3,281.93,Standard,14.3,38.9620243,-92.2938962,,,75.79,,1,8223,0.00,Electric Distribution
225,526,2017-03-03 07:24:12,1488547452,62.1,302.26,Standard,14.6,38.9640354,-92.2994827,,,76.13,,-2,8223,0.00,Electric Distribution
225,526,2017-03-03 07:24:30,1488547470,45.4,246.75,Standard,14.9,38.9642726,-92.3040331,,,76.39,,-4,8223,0.00,Electric Distribution
225,526,2017-03-03 07:24:48,1488547488,34.5,270.30,Standard,15.1,38.9638767,-92.307559,,,76.59,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:25:06,1488547506,0,268.31,Motion Stop,15.2,38.9638809,-92.3097733,,,76.7,,-16,9247,0.00,Electric Distribution
225,526,2017-03-03 07:25:14,1488547514,12.3,267.05,Motion Start,15.2,38.9638779,-92.3098611,,,76.71,,36,9247,0.00,Electric Distribution
225,526,2017-03-03 07:25:39,1488547539,34.7,272.18,Standard,15.4,38.9639182,-92.31381,,,76.92,,0,8223,0.00,Electric Distribution
225,526,2017-03-03 07:25:57,1488547557,7.2,177.21,Standard,15.5,38.9637147,-92.3159092,,,77.04,,-5,8223,0.00,Electric Distribution
